"","reference","ID_reference"
"1","Alvarado et al. 2015",1
"2","AQ-SPEC",2
"3","Austin et al. 2015",3
"4","Badura et al. 2018",4
"5","barrett_coefficient_1974",5
"6","Bettair 2017",6
"7","Bigi et al. 2018",7
"8","Borghi et al. 2018",8
"9","Borrego et al. 2016",9
"10","Budde et al. 2018",10
"11","Castell et all. 2017",11
"12","Cavaliere et at. 2018",12
"13","cen_ambient_2012_CO",13
"14","cen_ambient_2012_NO2",14
"15","cen_ambient_2012_O3",15
"16","cen_ambient_2012_SO2",16
"17","cen_ambient_2014_PM",17
"18","Chakrabarti et al. 2004",18
"19","Cordero et al. 2018",19
"20","Crilley et al. 2018",20
"21","Cross et al. 2017",21
"22","Dacunto et al. 2015",22
"23","Duvall at al. 2016",23
"24","Feinberg et al. 2018",24
"25","Gao et al. 2015",25
"26","Gerboles et al. 2015(a)",26
"27","Gerboles et al. 2019",27
"28","Gillooly et al. 2019",28
"29","Han et al,.2016",29
"30","Holstius et al 2014",30
"31","Jiao et al. 2016",31
"32","Jovasevic_Stojanovic et al 2015",32
"33","Karagulian et al. 2012",33
"34","Kelly et al 2017",34
"35","key-vocs_metrology_2017",35
"36","kumar_rise_2015",36
"37","Kunak field report 2017",37
"38","Laquai_particle_2017",38
"39","lewis_low-cost_2018",39
"40","lewis_validate_2016",40
"41","Lin et al. 2015",41
"42","Liu et al, 2019",42
"43","Manikonda et al. 2016",43
"44","Marjovi et al. 2017",44
"45","Mead et al. 2013",45
"46","Mijling et al. 2017",46
"47","Mueller et al. 2017",47
"48","Mukherjee_et_al_2017",48
"49","Northcross et al. 2013",49
"50","Olivares and Edwards, 2015",50
"51","Piedrahita et al. 2014",51
"52","Pillarisetti et al 2017",52
"53","Popoola et al. 2016",53
"54","Sousan et al 2016",54
"55","Sousan et al. 2016 (a)",55
"56","Spinelle et al. 2015 (a)",56
"57","Spinelle et al. 2016",57
"58","Spinelle et at. 2015 Part A (b)",58
"59","Spinelle et at. 2015 Part B",59
"60","Spinelle et at. 2017 Part B",60
"61","Spinelle_et_al_2013",61
"62","Spinelle_et_al_2013(a)",62
"63","spinelle_evaluation_2017",63
"64","Steinle et al. 2015",64
"65","Sun et al. 2016",65
"66","Sun et al. 2017",66
"67","the_world_air_quality_index_sensing_2019",67
"68","US-EPA_2015",68
"69","Vaughn D et al. 2010 (Sonoma Technology)",69
"70","Viana et al. 2015",70
"71","Wang et al. 2015",71
"72","Wei et al. 2018",72
"73","Williams et al.  2014(b)",73
"74","Williams et al.  2014(c)",74
"75","Zheng et al. 2018",75
"76","Zikova et al. 2016",76
"77","Zimmerman_et_al_2018",77
